position,name,year,rating,url
1,The Shawshank Redemption,1994,9.2,https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,9.0,https://www.imdb.com/title/tt0468569/
4,The Godfather: Part II,1974,9.0,https://www.imdb.com/title/tt0071562/
5,12 Angry Men,1957,8.9,https://www.imdb.com/title/tt0050083/
6,Schindler's List,1993,8.9,https://www.imdb.com/title/tt0108052/
7,The Lord of the Rings: The Return of the King,2003,8.9,https://www.imdb.com/title/tt0167260/
8,Pulp Fiction,1994,8.9,https://www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,https://www.imdb.com/title/tt0120737/
10,"Il buono, il brutto, il cattivo",1966,8.8,https://www.imdb.com/title/tt0060196/
11,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/
12,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/
13,Inception,2010,8.7,https://www.imdb.com/title/tt1375666/
14,The Lord of the Rings: The Two Towers,2002,8.7,https://www.imdb.com/title/tt0167261/
15,The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/
16,The Matrix,1999,8.7,https://www.imdb.com/title/tt0133093/
17,Goodfellas,1990,8.7,https://www.imdb.com/title/tt0099685/
18,One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com/title/tt0073486/
19,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/
20,Shichinin no samurai,1954,8.6,https://www.imdb.com/title/tt0047478/
21,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/
23,Cidade de Deus,2002,8.6,https://www.imdb.com/title/tt0317248/
24,Saving Private Ryan,1998,8.6,https://www.imdb.com/title/tt0120815/
25,La vita è bella,1997,8.6,https://www.imdb.com/title/tt0118799/
26,The Green Mile,1999,8.6,https://www.imdb.com/title/tt0120689/
27,Interstellar,2014,8.6,https://www.imdb.com/title/tt0816692/
28,Star Wars,1977,8.6,https://www.imdb.com/title/tt0076759/
29,Terminator 2: Judgment Day,1991,8.5,https://www.imdb.com/title/tt0103064/
30,Back to the Future,1985,8.5,https://www.imdb.com/title/tt0088763/
31,Sen to Chihiro no kamikakushi,2001,8.5,https://www.imdb.com/title/tt0245429/
32,Psycho,1960,8.5,https://www.imdb.com/title/tt0054215/
33,The Pianist,2002,8.5,https://www.imdb.com/title/tt0253474/
34,Léon,1994,8.5,https://www.imdb.com/title/tt0110413/
35,Gisaengchung,2019,8.5,https://www.imdb.com/title/tt6751668/
36,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/
37,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/
38,American History X,1998,8.5,https://www.imdb.com/title/tt0120586/
39,The Usual Suspects,1995,8.5,https://www.imdb.com/title/tt0114814/
40,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/
41,The Prestige,2006,8.5,https://www.imdb.com/title/tt0482571/
42,Casablanca,1942,8.5,https://www.imdb.com/title/tt0034583/
43,Whiplash,2014,8.5,https://www.imdb.com/title/tt2582802/
44,The Intouchables,2011,8.5,https://www.imdb.com/title/tt1675434/
45,Modern Times,1936,8.5,https://www.imdb.com/title/tt0027977/
46,Seppuku,1962,8.4,https://www.imdb.com/title/tt0056058/
47,Once Upon a Time in the West,1968,8.4,https://www.imdb.com/title/tt0064116/
48,Hotaru no haka,1988,8.4,https://www.imdb.com/title/tt0095327/
49,Rear Window,1954,8.4,https://www.imdb.com/title/tt0047396/
50,Alien,1979,8.4,https://www.imdb.com/title/tt0078748/
51,City Lights,1931,8.4,https://www.imdb.com/title/tt0021749/
52,Nuovo Cinema Paradiso,1988,8.4,https://www.imdb.com/title/tt0095765/
53,Memento,2000,8.4,https://www.imdb.com/title/tt0209144/
54,Apocalypse Now,1979,8.4,https://www.imdb.com/title/tt0078788/
55,Top Gun: Maverick,2022,8.4,https://www.imdb.com/title/tt1745960/
56,Raiders of the Lost Ark,1981,8.4,https://www.imdb.com/title/tt0082971/
57,Django Unchained,2012,8.4,https://www.imdb.com/title/tt1853728/
58,WALL·E,2008,8.4,https://www.imdb.com/title/tt0910970/
59,The Lives of Others,2006,8.4,https://www.imdb.com/title/tt0405094/
60,Sunset Blvd.,1950,8.4,https://www.imdb.com/title/tt0043014/
61,Paths of Glory,1957,8.4,https://www.imdb.com/title/tt0050825/
62,The Shining,1980,8.4,https://www.imdb.com/title/tt0081505/
63,The Great Dictator,1940,8.4,https://www.imdb.com/title/tt0032553/
64,Witness for the Prosecution,1957,8.4,https://www.imdb.com/title/tt0051201/
65,Avengers: Infinity War,2018,8.4,https://www.imdb.com/title/tt4154756/
66,Aliens,1986,8.3,https://www.imdb.com/title/tt0090605/
67,American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com/title/tt0057012/
69,The Dark Knight Rises,2012,8.3,https://www.imdb.com/title/tt1345836/
70,Spider-Man: Into the Spider-Verse,2018,8.3,https://www.imdb.com/title/tt4633694/
71,Joker,2019,8.3,https://www.imdb.com/title/tt7286456/
72,Oldeuboi,2003,8.3,https://www.imdb.com/title/tt0364569/
73,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/
74,Amadeus,1984,8.3,https://www.imdb.com/title/tt0086879/
75,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/
76,Coco,2017,8.3,https://www.imdb.com/title/tt2380307/
77,Das Boot,1981,8.3,https://www.imdb.com/title/tt0082096/
78,Inglourious Basterds,2009,8.3,https://www.imdb.com/title/tt0361748/
79,Mononoke-hime,1997,8.3,https://www.imdb.com/title/tt0119698/
80,Once Upon a Time in America,1984,8.3,https://www.imdb.com/title/tt0087843/
81,Avengers: Endgame,2019,8.3,https://www.imdb.com/title/tt4154796/
82,Good Will Hunting,1997,8.3,https://www.imdb.com/title/tt0119217/
83,Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/
84,Toy Story 3,2010,8.3,https://www.imdb.com/title/tt0435761/
85,Kimi no na wa.,2016,8.3,https://www.imdb.com/title/tt5311514/
86,Singin' in the Rain,1952,8.3,https://www.imdb.com/title/tt0045152/
87,3 Idiots,2009,8.3,https://www.imdb.com/title/tt1187043/
88,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/
89,2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/
90,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/
91,Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/
92,Tengoku to jigoku,1963,8.3,https://www.imdb.com/title/tt0057565/
93,Everything Everywhere All at Once,2022,8.3,https://www.imdb.com/title/tt6710474/
94,Citizen Kane,1941,8.3,https://www.imdb.com/title/tt0033467/
95,Capharnaüm,2018,8.3,https://www.imdb.com/title/tt8267604/
96,Lawrence of Arabia,1962,8.3,https://www.imdb.com/title/tt0056172/
97,Jagten,2012,8.3,https://www.imdb.com/title/tt2106476/
98,M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com/title/tt0022100/
99,North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/
100,Vertigo,1958,8.2,https://www.imdb.com/title/tt0052357/
101,Le fabuleux destin d'Amélie Poulain,2001,8.2,https://www.imdb.com/title/tt0211915/
102,A Clockwork Orange,1971,8.2,https://www.imdb.com/title/tt0066921/
103,Idi i smotri,1985,8.2,https://www.imdb.com/title/tt0091251/
104,Full Metal Jacket,1987,8.2,https://www.imdb.com/title/tt0093058/
105,Double Indemnity,1944,8.2,https://www.imdb.com/title/tt0036775/
106,The Apartment,1960,8.2,https://www.imdb.com/title/tt0053604/
107,Scarface,1983,8.2,https://www.imdb.com/title/tt0086250/
108,Ikiru,1952,8.2,https://www.imdb.com/title/tt0044741/
109,To Kill a Mockingbird,1962,8.2,https://www.imdb.com/title/tt0056592/
110,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/
111,Taxi Driver,1976,8.2,https://www.imdb.com/title/tt0075314/
112,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/
113,Up,2009,8.2,https://www.imdb.com/title/tt1049413/
